SubLevel,QNumber,QContent,AnswerA,AnswerB,AnswerC,AnswerD,CorrectAnswer,Passed
1,1,"If you go on .................. me like this, I will never be able to finish writing my report.",disturbing,afflicting,concerning,affecting,disturbing,0
1,2,"Turn off this machine, please. The harsh sound really.......................me crazy.",takes,worries,drives,bothers,drives,0
1,3,Everyone knew that....................this task would require a considerable effort.,working,engaging,making,completing,completing,0
1,4,"Mr. Tanner did his best to fix the faulty oven, but his..................at repairing electrical devices wasn't good enough to succeed.",service,skill,technique,craft,skill,0
1,5,Judy didn't.......................for a second to agree to Mike's proposal as she had been in love with the boy for a long time.,decide,linger,hesitate,await,hesitate,0
1,6,"Don't get so nervous about his coming late. When you get to know him better, you'll learn to take it.......................",easy,loose,nice,fine,easy,0
1,7,The inconsiderate driver was ............... for parking his vehicle in the wrong place.,inflicted,condemned,harassed,fined,fined,0
1,8,The idea to..............a visit to the local council residence was welcomed by all the visitors.,do,pay,go,walk,pay,0
1,9,His ...............................of the safety regulations really can't be ignored any longer.,disregard,unfamiliarity,carelessness,inattention,disregard,0
1,10,"Let's............................... the place, it looks so gloomy and unpleasant.",miss,abandon,depart,disappear,abandon,0
2,11,"What you are saying is quite................., so give us, please, more details on the situation.",famous,accustomed,obvious,familiar,obvious,0
2,12,"For a short while, I managed to catch...................of the President entering the palace.",vision,notice,view,sight,sight,0
2,13,The suggestion to leave the camp at once was strongly........... by the climbers who were afraid of the approaching snowstorm.,opposed,complained,quarreled,resigned,opposed,0
2,14,The first thing for all of you to remember is that...............your duties may result in an instant dismissal.,escaping,neglecting,resisting,missing,neglecting,0
2,15,It was the commission's job to decide whether the pilot was...............for the crash that occurred right after the take-off.,responsible,prone,guilty,comprehensive,responsible,0
2,16,None of us has ever.....................of taking any rash steps against illegal broadcasting.,declared,persisted,approved,concluded,approved,0
2,17,Several soldiers of the squad were taken.............by the enemy forces.,capture,hostage,kidnap,torture,hostage,0
2,18,The student was.....................of understanding the theory even after the professor's profound explanation.,incompetent,incapable,helpless,unsuccessful,incapable,0
2,19,I'm going for a walk in the park. Would you like to............me company?,follow,stay,ward,keep,keep,0
2,20,Patrick is too....................... a gambler to resist placing a bet on the final game.,instant,spontaneous,compulsive,continuous,compulsive,0
3,21,Mrs. Hurston was in deep...............................after her husband's unexpected death.,regret,grief,lament,disturbance,grief,0
3,22,The Martins have confirmed their strong...................................to charity actions by donating a lump sum of money again.,compliance,reliance,assignment,commitment,commitment,0
3,23,The other party has raised a number of................  to the reforms in the tax system.,problems,objections,difficulties,complaints,objections,0
3,24,"My older brother is extremely fond of astronomy, he seems to.................................   a lot of pleasure from observing the stars.",derive,possess,seize,reach,derive,0
3,25,"I can accept criticism in general, but George really......................it too far, so I had no other option but to show my disapproval.",carried,pushed,put,made,carried,0
3,26,"When old Mr. Barnaby died, several people ................. their claim to the substantial legacy that he left,",placed,drew,assumed,laid,laid,0
3,27,The relations between these two countries have become very.........................................after the unpleasant incident at the border.,reckless,excitable,feverish,tense,tense,0
3,28,The press puts..........................................on the police forces who were unable to cope with the crowd of savage hooligans.,fault,charge,blame,guilt,blame,0
3,29,On entering the nursery I stumbled on the wooden blocks.................all over the carpet.,plunged,scattered,settled,tossed,scattered,0
3,30,No matter how loudly you shout to him he won't hear you. He is as deaf as a....................,bat,stump,tomb,post,post,0
4,31,The jury.....................her compliments on her excellent knowledge of the subject.,paid,gave,made,said,paid,0
4,32,"We couldn't stay long, so we only wished Mark many happy................of his birthday and hurried to the airport.",days,returns,moments,regards,returns,0
4,33,"Ever since we quarrelled in the office, Janice and I have been....................enemies.",assured,confirmed,defined,guaranteed,confirmed,0
4,34,"If I had known that she had fallen so seriously.............., I'd certainly have visited her in hospital.",ill,unhealthy,invalid,unwell,ill,0
4,35,A young tourist has been declared....................after he got lost in the mountains last Monday.,absent,deserter,missing,vanished,missing,0
4,36,You needn't hurry. You may take your..........................before you give me the definite answer.,while,minute,time,thinking,time,0
4,37,Michael was ....................... with anger when he saw his car had been scratched.,stored,fixed,loaded,filled,filled,0
4,38,The schoolboy's excuse wasn't............................. at all. Nobody in the classroom believed in the far-fetched story he told.,credential,credible,creditable,credulous,credible,0
4,39,The professor wasn't...........................with the current political affairs in his country after his long stay abroad.,familiar,present,knowledgeable,actual,familiar,0
4,40,"It's not easy to make Stanley furious, the boy is very gentle by......................",himself,personality,reaction,nature,nature,0
5,41,"Michael was a terrible........................., he was even afraid to stay at home alone.",culprit,coward,fiancé,boaster,coward,0
5,42,"After a lengthy debate, the spokesman announced the board had .....................a unanimous conclusion.",committed,solved,reached,compromised,reached,0
5,43,"In spite of our big effort, we have not managed to.......................... enough money for the renovation of the school buildings.",raise,compose,rear,score,raise,0
5,44,The success of our campaign is.............................on the number of investors we can attract.,legible,relative,dependent,obtainable,dependent,0
5,45,George didn't attend school for six weeks as he had to stay in hospital where he was  .............................. for pneumonia.,fixed,mended,relieved,treated,treated,0
5,46,I don't believe a................................of what he says.,sentence,word,phrase,matter,word,0
5,47,We couldn't stand his nasty.........................of spitting on the floor and we moved him from our department.,disposition,character,guilt,habit,habit,0
5,48,Alex was............................enough on becoming a professional sportsman and he didn't want to listen to anybody else's advice.,intent,eager,definite,certain,intent,0
5,49,"You'd better not place a bet on Stallion. In my opinion, the horse doesn't.......................a chance of winning the race.",win,stand,rise,play,stand,0
5,50,Nobody took any.......................of the warning and they went swimming in the  contaminated water.,information,attention,notice,sight,notice,0
6,51,"It was.......................time we did something about the case, but we had no idea  how to react.",main,high,latest,fair,high,0
6,52,The loan that we had received from our parents....................us to buy a flat in Cambridge.,enabled,assisted,fulfilled,granted,enabled,0
6,53,Patrick............................his joy at winning the prize by inviting his friends to a first-  class restaurant for dinner.,appeared,envisioned,exposed,displayed,displayed,0
6,54,was immensely.........................to hear that none of my relatives was killed in  the bus accident.,relieved,improved,recovered,healed,relieved,0
6,55,They say that a friend in..................is a friend indeed.,miss,lack,wish,need,need,0
6,56,It is not a great achievement to me if you make money by ....................of an  illegal business.,sorts,means,process,works,means,0
